image_id,BX,BY,Width,Height
1,380,515,76,72
1,429,149,75,68
1,448,12,61,60
1,765,81,87,79
1,153,133,80,76
1,272,112,65,63
1,603,413,57,53
1,540,594,58,60
1,650,565,99,68
1,605,624,55,52
1,650,678,55,52
1,377,343,63,61
1,245,445,64,56
1,240,581,59,62
1,143,568,56,56
1,27,587,62,57
1,740,900,59,59
1,745,491,60,58
1,485,218,73,67
1,684,692,129,64
1,832,810,63,60
1,421,960,58,60
1,492,429,57,55
1,481,467,54,53
1,520,467,53,46
1,544,488,52,65
1,499,498,65,58
10,542,45,24,108
10,539,369,27,102
10,104,488,72,55
10,248,643,44,48
10,535,561,31,86
10,481,929,60,68
11,0,0,175,132
11,255,30,199,172
11,740,62,77,78
11,940,0,67,32
11,824,255,121,104
11,779,430,111,152
11,996,502,28,64
11,805,677,77,77
11,902,714,95,110
11,943,839,74,57
11,980,974,44,50
11,427,414,53,61
11,552,243,62,63
11,257,882,71,62
12,0,0,31,53
12,395,0,131,44
12,703,122,105,118
12,998,31,26,99
12,794,283,74,66
12,961,317,63,94
12,326,76,62,60
12,330,200,68,64
12,378,180,63,53
12,400,330,63,64
12,325,402,63,61
12,30,478,69,61
12,118,580,63,62
12,10,768,93,90
12,295,782,71,80
12,44,666,63,68
12,569,315,43,61
12,523,403,60,65
12,606,462,74,82
12,785,406,114,160
12,247,588,92,68
12,455,588,93,86
12,646,593,69,80
12,626,262,73,73
12,63,256,78,107
12,484,758,71,76
12,516,71,80,71
12,703,746,82,89
12,820,781,146,81
12,970,690,54,113
12,722,909,83,59
12,864,935,79,76
12,449,961,77,63
12,229,993,75,31
12,0,958,80,66
12,255,478,81,81
13,37,361,96,91
13,0,0,66,22
13,220,84,120,86
13,353,239,57,68
13,418,0,178,96
13,750,0,59,49
13,766,151,49,51
13,549,132,81,72
13,588,259,75,71
13,523,446,73,63
13,721,560,55,59
13,806,478,68,138
13,396,625,185,149
13,782,364,56,58
14,319,69,18,14
14,301,498,139,62
15,0,302,41,110
15,617,0,308,77
15,238,273,36,36
16,0,5,13,26
16,78,0,30,13
16,73,31,28,22
16,46,92,17,24
16,99,75,26,28
16,169,5,66,50
16,338,3,27,21
16,438,12,28,31
16,182,107,60,42
16,124,122,31,24
16,69,153,36,63
16,142,182,30,29
16,0,215,14,27
16,294,57,29,26
16,255,37,37,42
16,327,84,32,22
16,350,60,25,28
16,383,86,29,28
16,364,114,27,20
16,365,141,30,34
16,410,245,31,40
16,248,137,33,33
16,239,198,47,48
16,334,292,31,25
16,102,243,82,49
16,10,286,41,32
16,39,395,28,27
16,172,302,42,39
16,203,343,41,35
16,251,367,44,33
16,361,324,69,72
16,469,362,15,30
16,52,517,68,34
16,77,454,67,42
16,169,467,29,23
16,225,471,29,35
16,284,509,30,31
16,409,423,30,30
16,382,179,24,26
17,196,0,67,61
17,73,17,35,31
17,103,63,55,39
17,13,0,32,32
17,290,54,34,31
17,13,97,29,25
17,0,125,28,28
17,0,203,22,64
17,61,233,33,30
17,103,190,25,24
17,0,295,32,30
17,63,291,48,21
17,76,323,26,26
17,115,347,30,30
17,38,409,35,26
17,172,405,41,30
17,167,196,51,38
17,252,208,26,29
17,264,148,40,33
17,348,119,35,39
17,478,16,30,31
17,525,59,42,37
17,574,103,27,47
17,532,188,34,38
17,576,224,25,38
17,548,269,41,28
17,498,275,33,33
17,421,122,75,82
17,362,239,48,56
17,109,261,30,26
17,202,255,55,65
17,226,399,30,31
17,314,314,68,43
17,302,391,25,22
17,315,422,51,13
17,420,308,34,46
17,264,97,34,33
17,426,256,38,36
17,488,174,39,43
17,565,306,36,36
17,493,310,51,40
17,375,371,35,28
17,513,374,88,61
18,102,0,184,114
18,800,349,77,89
18,180,552,71,66
18,0,357,111,163
18,0,697,35,59
18,424,727,74,77
18,795,676,175,180
18,720,976,96,48
18,0,902,314,122
19,135,79,51,32
19,205,13,49,46
19,305,119,46,44
19,74,71,31,26
19,51,99,64,69
19,14,161,47,33
19,135,197,46,43
19,93,258,43,36
19,3,235,39,36
19,10,323,30,31
19,0,358,23,25
19,0,389,19,39
19,0,431,22,38
19,74,421,36,42
19,129,411,32,38
19,142,451,51,37
19,151,392,41,32
19,126,313,43,32
19,103,339,35,24
19,91,364,40,39
19,269,161,31,33
19,161,256,59,44
19,263,222,24,29
19,311,219,69,43
19,257,260,26,27
19,327,268,29,27
19,333,313,42,40
19,244,333,59,52
19,203,372,38,30
19,373,408,48,42
19,427,444,22,26
19,329,471,72,24
19,207,204,49,42
19,225,91,30,46
19,133,14,41,40
19,341,11,49,70
19,391,113,58,51
2,85,0,78,59
2,168,178,65,57
2,330,0,150,122
2,0,173,140,323
2,189,398,62,67
2,232,239,168,150
2,455,246,75,64
2,680,0,72,44
2,763,57,77,101
2,628,114,65,72
2,701,207,75,70
2,1034,0,70,39
2,734,315,60,68
2,719,414,90,39
2,654,471,173,150
2,781,621,70,56
2,716,680,60,62
2,548,603,88,206
2,380,752,83,81
2,212,568,134,75
2,0,644,49,54
2,0,758,65,72
2,82,784,59,64
2,129,670,73,70
2,194,758,75,51
2,295,838,67,62
2,153,952,64,67
2,0,990,114,166
2,0,1226,34,54
2,140,1135,65,67
2,67,1228,62,59
2,78,1310,72,72
2,140,1394,69,54
2,252,1120,161,217
2,15,1475,59,69
2,21,1544,147,51
2,147,1595,57,51
2,176,1663,64,54
2,252,1637,70,67
2,0,1903,36,93
2,62,1813,83,101
2,155,1849,65,62
2,165,1986,83,54
2,452,1406,73,86
2,287,1443,129,90
2,380,1531,91,72
2,571,1461,70,49
2,683,1479,62,54
2,769,1523,60,60
2,628,1564,49,47
2,674,1626,67,65
2,734,1714,62,55
2,534,1687,73,71
2,605,1703,67,70
2,283,1740,192,106
2,297,1843,90,75
2,328,1952,70,64
2,390,2009,125,39
2,612,1800,67,59
2,724,1812,59,52
2,974,116,106,108
2,1111,90,96,68
2,872,260,119,137
2,1062,239,103,151
2,907,442,59,54
2,1060,444,72,80
2,977,502,78,101
2,992,628,57,69
2,1373,0,78,31
2,1448,49,65,54
2,1342,75,88,75
2,1251,152,131,199
2,1269,367,57,54
2,1445,184,57,51
2,1495,222,57,59
2,1629,134,60,60
2,1634,201,72,78
2,1766,0,75,54
2,1916,0,106,116
2,1764,85,111,127
2,1730,321,54,46
2,1923,253,76,78
2,1177,711,69,52
2,1194,628,85,69
2,1271,464,145,155
2,1468,336,107,83
2,1587,429,111,209
2,1764,406,77,80
2,1877,380,171,163
2,1745,540,70,67
2,1779,626,129,67
2,1179,876,77,70
2,1391,649,69,67
2,1303,762,357,324
2,632,822,505,509
2,1210,1280,176,207
2,1373,1125,67,75
2,1867,812,70,80
2,1965,874,83,116
2,1929,990,101,93
2,1968,1133,80,155
2,1859,1133,57,64
2,1828,1091,67,62
2,1590,1166,57,47
2,1717,1192,72,80
2,1621,1229,70,77
2,1029,1617,57,54
2,1006,1733,101,131
2,605,1908,78,67
2,876,1991,91,57
2,1195,1668,245,191
2,1306,1893,83,83
2,1349,2001,57,47
2,1450,1996,52,52
2,1707,1981,85,67
2,1497,1706,70,70
2,1477,1598,75,72
2,1652,1636,65,73
2,1769,1637,85,111
2,1569,1776,70,78
2,1880,1500,62,62
2,1932,1608,59,73
2,1950,1738,98,103
2,1755,1787,137,160
2,1918,1867,127,96
2,1712,1298,336,145
20,306,0,70,48
20,151,47,88,69
20,619,0,122,84
20,869,12,77,97
20,596,134,75,81
20,468,111,63,62
20,495,50,71,82
20,741,138,77,68
20,923,145,101,158
20,279,175,92,65
20,443,238,75,66
20,509,235,83,71
20,706,233,72,76
20,250,317,87,81
20,463,348,74,77
20,350,388,79,75
20,9,424,264,93
20,116,689,81,78
20,193,766,72,73
20,99,859,77,72
20,257,886,90,90
20,441,919,66,71
20,404,767,84,105
20,475,661,74,85
20,574,622,84,95
20,557,699,74,132
20,673,899,65,61
20,609,974,66,50
20,825,1001,62,23
20,834,864,70,64
20,677,741,81,74
20,772,729,87,80
20,874,676,146,135
20,809,487,77,109
20,896,363,71,86
20,645,463,74,74
20,645,380,105,78
20,759,331,79,84
20,322,450,68,74
20,30,569,80,83
21,731,0,178,173
21,1030,122,88,224
21,891,256,63,48
21,924,337,61,57
21,504,0,63,40
21,104,40,69,55
21,439,77,79,69
21,248,101,71,66
21,151,88,66,78
21,92,137,77,84
21,323,194,65,72
21,68,270,77,70
21,103,418,70,72
21,498,389,101,79
21,697,293,102,69
21,854,452,125,173
21,736,480,61,65
21,232,619,88,80
21,110,668,76,57
21,11,753,57,52
21,11,857,59,59
21,115,862,60,56
21,72,1251,70,56
21,63,1042,61,99
21,227,1118,59,63
21,292,1271,61,63
21,347,1087,67,60
21,225,858,124,121
21,500,515,256,191
21,801,655,78,80
21,853,767,65,61
21,943,763,83,105
21,1046,826,72,71
21,1050,931,68,72
21,981,999,63,69
21,456,1143,65,64
21,695,1064,61,54
21,803,1134,59,54
21,850,1224,60,63
21,835,1307,58,54
21,972,1372,69,53
21,567,1209,117,128
21,428,796,326,261
22,0,0,216,89
22,385,69,119,120
22,749,58,112,107
22,609,144,138,129
22,464,330,219,173
22,82,492,153,110
22,215,240,102,97
22,79,709,117,113
22,86,989,83,35
22,188,912,80,80
22,331,892,246,132
22,698,561,79,88
22,636,630,104,93
22,966,450,58,128
22,866,534,79,75
22,953,650,71,128
22,833,805,75,140
22,984,880,40,105
22,636,807,101,93
23,696,977,100,47
23,261,471,54,51
24,923,484,65,64
24,1376,683,54,82
24,1764,931,64,67
24,1734,1451,60,67
24,347,592,54,73
24,758,1810,67,62
25,1417,1083,75,60
26,0,10,16,35
26,122,51,34,37
26,272,0,38,16
26,277,61,61,36
26,245,182,46,41
26,270,223,34,30
26,308,293,30,34
26,75,181,94,70
26,155,298,59,53
26,218,393,29,24
26,183,416,38,26
26,0,344,14,36
27,0,42,28,52
27,0,22,53,26
27,181,4,40,37
27,259,0,41,45
27,225,84,45,37
27,240,117,57,32
27,168,175,64,38
27,301,217,37,66
27,0,203,34,57
27,82,251,44,56
27,123,294,33,33
27,187,293,43,47
27,104,363,38,41
27,26,304,45,40
28,3,0,36,18
28,38,113,55,44
28,0,173,19,34
28,128,173,33,35
28,129,75,57,57
28,244,137,36,42
28,288,2,49,61
28,228,318,80,68
28,327,358,10,28
3,17,40,63,60
3,193,0,69,53
3,127,100,64,67
3,282,53,91,101
3,352,28,84,68
3,630,32,84,80
3,950,0,69,48
3,799,0,66,36
3,158,310,87,100
3,262,416,60,57
3,76,575,120,117
3,278,523,127,210
3,706,214,146,158
3,945,381,76,73
3,877,543,143,166
3,626,531,52,64
3,462,383,119,159
3,372,278,64,71
3,604,293,63,73
3,366,146,58,66
3,658,112,67,59
3,535,147,68,69
3,596,235,63,55
3,0,186,32,78
3,84,407,57,56
3,0,843,102,107
3,248,909,181,93
3,237,778,93,69
3,613,628,51,64
3,621,703,58,56
3,736,732,54,59
3,957,813,66,79
3,924,955,91,69
3,551,871,79,65
3,489,810,63,64
3,677,948,130,76
4,102,2,85,106
4,0,173,57,70
4,341,0,88,83
4,475,0,173,54
4,178,132,129,82
4,96,259,80,85
4,28,361,189,233
4,251,357,62,62
4,320,377,106,165
4,491,134,96,70
4,427,266,62,55
4,447,369,67,69
4,1011,0,83,36
4,905,78,65,64
4,690,170,67,70
4,558,310,65,59
4,657,297,62,59
4,610,370,62,59
4,771,287,64,65
4,866,274,62,52
4,977,305,57,57
4,959,400,67,65
4,917,491,67,62
4,1029,93,137,134
4,1221,83,62,44
4,1274,149,67,57
4,1433,44,56,69
4,1629,0,155,122
4,1893,0,67,65
4,1999,34,49,54
4,1962,78,52,57
4,1870,165,67,60
4,1745,248,101,86
4,1880,297,88,70
4,268,666,98,67
4,23,830,101,80
4,0,1032,142,77
4,129,1112,62,106
4,721,442,52,49
4,735,504,84,66
4,801,597,64,60
4,856,661,54,70
4,636,540,73,78
4,535,708,127,114
4,458,641,44,52
4,344,765,72,62
4,290,874,69,59
4,204,921,86,137
4,202,1078,67,68
4,238,1222,100,109
4,110,1310,83,78
4,12,1292,83,93
4,38,1532,69,73
4,70,1820,72,60
4,116,1893,166,155
4,385,1523,75,67
4,385,1266,160,152
4,439,1807,60,65
4,1132,315,65,65
4,1073,423,62,75
4,1233,359,91,86
4,1390,165,207,251
4,1187,621,54,56
4,1419,483,95,132
4,1654,343,72,67
4,1742,483,111,95
4,1999,432,49,77
4,1906,522,142,137
4,1895,682,98,80
4,1323,749,111,197
4,1502,706,233,253
4,1796,780,93,108
4,1459,985,152,155
4,1688,987,67,70
4,1973,967,75,155
4,1702,1114,85,75
4,1841,1102,98,144
4,1599,1186,96,102
4,1698,1207,86,93
4,1828,1299,197,227
4,1544,1380,90,94
4,1083,799,65,75
4,1282,473,106,85
4,809,847,225,195
4,846,1624,196,222
4,1404,1603,168,161
4,1965,1683,60,68
4,1916,1870,60,59
4,1368,1965,93,78
4,1557,1986,90,62
5,350,18,75,66
5,137,168,61,63
5,206,203,59,53
5,2,244,52,89
5,111,318,44,43
5,287,276,129,139
5,255,303,34,36
5,231,326,31,35
5,173,367,84,164
5,120,477,61,54
5,64,502,94,111
5,230,644,51,54
5,106,841,78,67
5,253,865,57,53
5,281,769,71,47
5,328,631,144,78
5,420,423,65,54
5,378,250,60,52
5,45,80,31,58
5,74,78,24,49
5,56,0,60,28
5,500,586,66,93
5,484,158,111,88
5,654,25,127,95
5,813,0,52,49
5,958,31,60,63
5,831,108,70,83
5,712,262,59,64
5,933,211,50,64
5,768,477,67,63
5,833,529,129,114
5,609,226,27,48
5,300,87,28,42
5,542,358,54,62
5,618,414,56,46
5,623,534,57,66
5,343,849,38,30
5,322,932,155,92
5,663,799,177,225
5,864,837,59,62
5,959,931,53,53
5,888,310,61,44
5,559,669,54,41
6,0,0,73,57
6,392,0,328,276
6,235,159,64,64
6,0,964,211,60
6,921,1,103,171
6,796,696,228,328
7,33,23,33,40
7,60,18,32,28
7,337,1,36,30
7,466,71,49,66
7,450,20,26,23
7,37,92,40,67
7,30,238,28,31
7,93,205,43,80
7,201,121,35,38
7,343,177,34,33
7,499,333,16,38
7,293,327,71,61
7,332,294,37,38
7,45,357,31,30
7,107,331,56,46
7,91,402,28,28
7,200,390,35,30
7,59,462,30,35
7,178,439,33,39
7,209,484,27,32
7,174,589,35,35
7,214,566,35,37
7,376,414,36,35
7,403,440,24,30
7,428,475,27,33
7,448,531,24,24
7,380,279,25,29
7,409,553,40,51
7,377,631,34,29
7,103,581,21,28
7,170,161,23,23
8,0,17,22,30
8,49,20,28,28
8,81,3,67,58
8,69,105,37,36
8,16,142,33,38
8,0,248,14,25
8,0,334,46,32
8,146,100,70,43
8,184,176,33,35
8,229,170,34,36
8,274,138,18,31
8,356,60,41,45
8,444,85,37,39
8,393,124,34,42
8,415,167,40,37
8,478,166,38,44
8,168,396,35,33
8,117,487,30,31
8,88,504,20,19
8,239,384,31,36
8,277,390,34,37
8,199,468,26,22
8,250,596,26,25
8,280,616,34,34
8,383,589,97,45
8,409,286,37,38
8,441,330,30,32
8,384,366,33,37
8,421,433,28,32
8,470,393,34,36
9,539,315,196,209
9,928,47,92,106
9,855,274,73,50
9,688,659,199,190
9,996,841,28,83
